arm,feature_set,cell,n,ks_D,ks_p,powered,leak_sized
gamma,A_state,TOV | 0-34,2984,0.29709761440183374,5.511801359771825e-234,True,True
gamma,A_state,TOV | 120-299,18055,0.07079411072150898,3.950779346750244e-79,True,True
gamma,A_state,TOV | 300-599,30745,0.05893809329398492,2.809034726453239e-93,True,True
gamma,A_state,TOV | 35-119,9196,0.0393573364321157,8.183909864637204e-13,True,False
gamma,A_state,TOV | 600+,63019,0.039087740446205194,4.272194379768301e-84,True,False
gamma,A_state,made_FG | 0-34,5322,0.3609655078636625,0.0,True,True
gamma,A_state,made_FG | 120-299,40350,0.14406461106987867,0.0,True,True
gamma,A_state,made_FG | 300-599,67288,0.12305466035848678,0.0,True,True
gamma,A_state,made_FG | 35-119,19323,0.06453560401824604,2.073029602733508e-70,True,True
gamma,A_state,made_FG | 600+,137113,0.08340341675447144,0.0,True,True
gamma,A_state,made_FT | 0-34,4977,0.4009712587465718,0.0,True,True
gamma,A_state,made_FT | 120-299,12683,0.16579687606782192,3.609429922870787e-305,True,True
gamma,A_state,made_FT | 300-599,16571,0.15954297628771327,0.0,True,True
gamma,A_state,made_FT | 35-119,8641,0.0640944610724209,2.641088283460904e-31,True,True
gamma,A_state,made_FT | 600+,23057,0.12433576551725964,3.8855875013205e-311,True,True
gamma,A_state,other | 0-34,422,0.2893216496760782,8.951147052016291e-32,True,True
gamma,A_state,other | 120-299,548,0.16796367959906316,5.5410251739704546e-14,True,True
gamma,A_state,other | 300-599,830,0.17476902545169282,1.2128096893352527e-22,True,True
gamma,A_state,other | 35-119,352,0.2463716728854694,2.65088037233224e-19,True,True
gamma,A_state,other | 600+,1365,0.22197471700203636,1.4774157488590206e-59,True,True
gamma,A_state,period_start | 300-599,356,0.23692642120131582,4.5866961190583915e-18,True,True
gamma,A_state,period_start | 600+,10637,0.043281408409851396,9.42032072200514e-18,True,False
gamma,B_plus_teams,DREB | 0-34,6552,0.21141332751501868,1.980659968052106e-257,True,True
gamma,B_plus_teams,DREB | 120-299,39095,0.10446473567700737,0.0,True,True
gamma,B_plus_teams,DREB | 300-599,64535,0.05568235223050577,2.3310321088577995e-174,True,True
gamma,B_plus_teams,DREB | 35-119,19776,0.061533604753011506,1.5472005036309322e-65,True,True
gamma,B_plus_teams,DREB | 600+,125715,0.02439563221397334,1.9889394155504654e-65,True,False
gamma,B_plus_teams,TOV | 0-34,2984,0.29495367498060726,1.4775308349346062e-230,True,True
gamma,B_plus_teams,TOV | 120-299,18055,0.06912015541180278,1.897222582602699e-75,True,True
gamma,B_plus_teams,TOV | 300-599,30745,0.058648154359049964,2.2933928291447093e-92,True,True
gamma,B_plus_teams,TOV | 35-119,9196,0.038490389324029706,2.8355733061071586e-12,True,False
gamma,B_plus_teams,TOV | 600+,63019,0.03819958477236274,2.4589834994586786e-80,True,False
gamma,B_plus_teams,made_FG | 0-34,5322,0.3633751148226716,0.0,True,True
gamma,B_plus_teams,made_FG | 120-299,40350,0.14338861416114115,0.0,True,True
gamma,B_plus_teams,made_FG | 300-599,67288,0.12351890759481718,0.0,True,True
gamma,B_plus_teams,made_FG | 35-119,19323,0.06096995675537675,6.944196657617454e-63,True,True
gamma,B_plus_teams,made_FG | 600+,137113,0.08395988915794739,0.0,True,True
gamma,B_plus_teams,made_FT | 0-34,4977,0.40356350588554657,0.0,True,True
gamma,B_plus_teams,made_FT | 120-299,12683,0.1668988016595291,2.93589303115306e-309,True,True
gamma,B_plus_teams,made_FT | 300-599,16571,0.15981647623701414,0.0,True,True
gamma,B_plus_teams,made_FT | 35-119,8641,0.06299396655914191,2.9763408158317122e-30,True,True
gamma,B_plus_teams,made_FT | 600+,23057,0.12496981449218217,2.520273531e-314,True,True
gamma,B_plus_teams,other | 0-34,422,0.2849297004933852,8.19341505106529e-31,True,True
gamma,B_plus_teams,other | 120-299,548,0.16112255727827224,6.760175601754306e-13,True,True
gamma,B_plus_teams,other | 300-599,830,0.16435432273523504,4.631796002544604e-20,True,True
gamma,B_plus_teams,other | 35-119,352,0.24619809354136052,2.820379448011646e-19,True,True
gamma,B_plus_teams,other | 600+,1365,0.2167082034788838,9.348629829599378e-57,True,True
gamma,B_plus_teams,period_start | 300-599,356,0.24253312607257232,6.409762199257724e-19,True,True
gamma,B_plus_teams,period_start | 600+,10637,0.04271553713757609,2.655819347927955e-17,True,False
gamma,C_plus_score,DREB | 0-34,6552,0.20724072399054916,2.753521810653655e-247,True,True
gamma,C_plus_score,DREB | 120-299,39095,0.10635720992170794,0.0,True,True
gamma,C_plus_score,DREB | 300-599,64535,0.05328494772314368,1.0743460078575403e-159,True,True
gamma,C_plus_score,DREB | 35-119,19776,0.06622812078767426,7.36181863964795e-76,True,True
gamma,C_plus_score,DREB | 600+,125715,0.0233144869422397,8.56609251037173e-60,True,False
gamma,C_plus_score,TOV | 0-34,2984,0.2902400297120116,4.093989326525301e-223,True,True
gamma,C_plus_score,TOV | 120-299,18055,0.07427693336668961,4.503238461520712e-87,True,True
gamma,C_plus_score,TOV | 300-599,30745,0.05742446136922985,1.4440165867862314e-88,True,True
gamma,C_plus_score,TOV | 35-119,9196,0.04030455119625298,2.0396691959370373e-13,True,False
gamma,C_plus_score,TOV | 600+,63019,0.03910150143269689,3.7300240295961643e-84,True,False
gamma,C_plus_score,made_FG | 0-34,5322,0.3593822763627229,0.0,True,True
gamma,C_plus_score,made_FG | 120-299,40350,0.1490906368802013,0.0,True,True
gamma,C_plus_score,made_FG | 300-599,67288,0.11943086753050483,0.0,True,True
gamma,C_plus_score,made_FG | 35-119,19323,0.07046227693300006,7.231285943456873e-84,True,True
gamma,C_plus_score,made_FG | 600+,137113,0.08184490053812973,0.0,True,True
gamma,C_plus_score,made_FT | 0-34,4977,0.39279250759324597,0.0,True,True
gamma,C_plus_score,made_FT | 120-299,12683,0.1742673619130754,0.0,True,True
gamma,C_plus_score,made_FT | 300-599,16571,0.1588123229462911,0.0,True,True
gamma,C_plus_score,made_FT | 35-119,8641,0.0645847837886846,8.855747214586195e-32,True,True
gamma,C_plus_score,made_FT | 600+,23057,0.12027874770748576,3.9736704729861035e-291,True,True
gamma,C_plus_score,other | 0-34,422,0.2857621954384375,5.4002681537996156e-31,True,True
gamma,C_plus_score,other | 120-299,548,0.15408102026271048,7.942738581289572e-12,True,True
gamma,C_plus_score,other | 300-599,830,0.15759853387234124,1.7940108506361066e-18,True,True
gamma,C_plus_score,other | 35-119,352,0.23634347673952405,8.824897959412183e-18,True,True
gamma,C_plus_score,other | 600+,1365,0.2207599582111252,6.635388851339155e-59,True,True
gamma,C_plus_score,period_start | 300-599,356,0.23863294884004788,2.5327515866414147e-18,True,True
gamma,C_plus_score,period_start | 600+,10637,0.04261156715438913,3.208177392322165e-17,True,False
gamma,D_plus_season,DREB | 0-34,6552,0.2051769750942823,2.392660088955364e-242,True,True
gamma,D_plus_season,DREB | 120-299,39095,0.11078474084648354,0.0,True,True
gamma,D_plus_season,DREB | 300-599,64535,0.05778712721890489,9.12921261084756e-188,True,True
gamma,D_plus_season,DREB | 35-119,19776,0.07024658035518394,2.6671192775526543e-85,True,True
gamma,D_plus_season,DREB | 600+,125715,0.020721063695513853,2.5500430255407884e-47,True,False
gamma,D_plus_season,TOV | 0-34,2984,0.28840594366826994,2.9715709071636475e-220,True,True
gamma,D_plus_season,TOV | 120-299,18055,0.07878790454215939,6.248482819420809e-98,True,True
gamma,D_plus_season,TOV | 300-599,30745,0.06211040605219503,1.500458714740356e-103,True,True
gamma,D_plus_season,TOV | 35-119,9196,0.037675130329656525,8.895470138816035e-12,True,False
gamma,D_plus_season,TOV | 600+,63019,0.042407697813122924,6.44015257711699e-99,True,False
gamma,D_plus_season,made_FG | 0-34,5322,0.3564223153418871,0.0,True,True
gamma,D_plus_season,made_FG | 120-299,40350,0.15416685585131998,0.0,True,True
